name,link
Cranmore Mountain Resort,https://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html
Pajarito Mountain Ski Area,https://www.onthesnow.com/new-mexico/pajarito-mountain-ski-area/ski-resort.html
Terry Peak Ski Area,https://www.onthesnow.com/south-dakota/terry-peak-ski-area/ski-resort.html
Big Snow Resort - Indianhead Mountain,https://www.onthesnow.com/michigan/indianhead-mountain/ski-resort.html
Alpine Valley Resort,https://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html
Brantling Ski Slopes,https://www.onthesnow.com/new-york/brantling-ski-slopes/ski-resort.html
Mt. Abram Ski Resort,https://www.onthesnow.com/maine/mt-abram-ski-resort/ski-resort.html
Sandia Peak,https://www.onthesnow.com/new-mexico/sandia-peak/ski-resort.html
Seven Oaks,https://www.onthesnow.com/iowa/seven-oaks/ski-resort.html
Roundtop Mountain Resort,https://www.onthesnow.com/pennsylvania/roundtop-mountain-resort/ski-resort.html
Tussey Mountain,https://www.onthesnow.com/pennsylvania/tussey-mountain/ski-resort.html
Snow Creek,https://www.onthesnow.com/missouri/snow-creek/ski-resort.html
Pine Knob Ski Resort,https://www.onthesnow.com/michigan/pine-knob-ski-resort/ski-resort.html
Whaleback Mountain,https://www.onthesnow.com/new-hampshire/whaleback-mountain/ski-resort.html
Otis Ridge Ski Area,https://www.onthesnow.com/massachusetts/otis-ridge-ski-area/ski-resort.html
Boston Mills,https://www.onthesnow.com/ohio/boston-mills/ski-resort.html
Brandywine,https://www.onthesnow.com/ohio/brandywine/ski-resort.html
Mad River Glen,https://www.onthesnow.com/vermont/mad-river-glen/ski-resort.html
Whitecap Mountain,https://www.onthesnow.com/wisconsin/whitecap-mountain/ski-resort.html
Liberty,https://www.onthesnow.com/pennsylvania/liberty/ski-resort.html
Peek'n Peak,https://www.onthesnow.com/new-york/peekn-peak/ski-resort.html
Villa Olivia,https://www.onthesnow.com/illinois/villa-olivia/ski-resort.html
White Pine Ski Area,https://www.onthesnow.com/wyoming/white-pine-ski-area/ski-resort.html
Bruce Mound,https://www.onthesnow.com/wisconsin/bruce-mound/ski-resort.html
